S.No.,State,City,Category,Alcohol,Hotel Name,Address,Start Date,Expiry Date,Total Rooms,user_id,price
1,Delhi,New Delhi,1 Star,1,Hotel LA (A unit of L A Hotels And Retreats Pvt. Ltd.),"plot no A-1, Community Centre, Road No 43, Mangolpuri Industrial Area Phase - 2, Pitampura New Delhi",20-01-2020,19-01-2025,35,1,5000
2,Gujarat,Adalaj,1 Star,1,"Amba Suites, Unit of Amba Township Private Limited","Amba Business Park, Shivam â€“ II, Sub-Plot No. M1, Block No. 477 & 478",15-07-2022,14-07-2027,64,1,5000
3,Gujarat,Ahmedabad,1 Star,1,Hotel Pragati The Grand (A Unit of Pragati The Grand Residency),"SP-2,FP 2342,PAIKI, NR ZYDUS CADILA HOSPITAL,HEBATPUR ROAD,THALTEJ Ahmedabad",22-09-2021,21-09-2026,45,1,5000
4,Gujarat,Ahmedabad,1 Star,1,Hotel Rezaas,"375-1, Sheetal Baug, Nr. Girish Cold Drink, Off C. G. Road, Mithakhali, Ellisbridge, Ahmedabad-380006",31-10-2018,30-10-2023,38,1,5000
5,Gujarat,Anand,1 Star,1,HOTEL ARIZONA INN,"OPP. S R PARK, ANAND- SOJITRA ROAD, ANAND- 388001",01-09-2020,31-08-2025,28,1,5000
6,Gujarat,Bhavnagar,1 Star,1,Blackbuck Safari Lodge,"Near Narmada Canal, Velavadar- Ayodhyapuram Road, Village-Rajgadh, Taluka- District-Bhavnagar",19-04-2022,18-04-2027,18,2,5000
7,Gujarat,Gandhinagar,1 Star,1,7 Wonders,"Ugati Corporate Park, Opp. Pratik Mall, Kudasan - Por Road, Kudasan",09-01-2020,08-01-2025,19,2,5000
8,Gujarat,Gandhinagar,1 Star,1,Jinanssh Hotels,"White House, Near Vijay Petrol Pump, Opp. Sachivalaya, Sector 11",17-11-2022,16-11-2027,58,2,5500
9,Gujarat,Morvi,1 Star,1,Avadh Fun Hub,"Revenue Survey No. 609 Paiki 2, Opp. Dhartidhan Hotel, Rajkot Morvi Highway, Nr. Lajai Chowkdi",06-05-2022,05-05-2027,12,3,5500
10,Gujarat,Rajkot,1 Star,1,The Pinevinta Hotel,"Near Bombay Petrol Pump, Gondal Road Rajkot",08-08-2022,07-08-2027,25,3,5500
11,Gujarat,Surat,1 Star,1,"GEN X, SURAT (A UNIT OF KADODARA HOTELS)","415, 4TH FLOOR, CHHATRALA CITY CENTER, NATIONAL HIGHWAY -08, NEAR KADODARA CHAR RASTA, AT & POST- UMBHEL, TAL- KAMREJ, SURAT-394325 Surat Surat Surat",07-08-2020,06-08-2025,49,3,5500
12,Gujarat,Vadodara,1 Star,1,HOTEL APPLE GRAND ,SURVEY NO 564 AND 565 N H 08 VILLAGE - TARASALI VADODRA BY PASS,26-05-2022,25-05-2027,42,4,5500
13,Gujarat,Vadodara,1 Star,1,VADPADRAKA HOTEL & RESORT,"VADPADRAKA HOTEL & RESORT, SURVEY NO 58/B/ PAIKI, BETWEEN SUMANDEEP AND PARUL UNIVERSITY, OPPOSITE VNS HOSTEL AT DATTAPURA, P.O. LIMDA 391760, GUJARAT",19-12-2019,18-12-2024,18,4,5500
14,Gujarat,Veraval,1 Star,1,The Divine Water World,"Junagadh Somnath Highway, Near Dari Toll Plaza, Opp. Over Bridge, Village Dari",09-09-2022,08-09-2027,23,4,5500
15,Madhya Pradesh,Dhar,1 Star,1,HOTEL JAHAJMAHAL,"MANDU, MADHYA PRADESH",02-08-2018,01-08-2023,25,5,5500
16,Maharashtra,Lonavala,1 Star,1,HOTEL MANIK MOTI,"GAT NO.164,KURAVANDE VILLAGE, INS SHIVAJI ROAD, LONAVLA , TAL-MAVAL,DIST-PUNE.",04-07-2018,03-07-2023,19,5,5500
17,Andaman And Nicobar,Port Blair*,2 Star,1,HOTEL SHREESH,"LINK ROAD, GOAL GHAR, PORT BLAIR, ANDAMAN & NICOBAR ISLAND Port Blair*",09-05-2019,08-05-2024,38,5,6000
18,Assam,Dibrugarh,2 Star,0,COMFORT HOTEL,"ROTARY ROAD, DIBRUGARH, ASSAM-786001.",25-03-2022,24-03-2027,26,5,6000
19,Assam,Dibrugarh,2 Star,0,Hotel Sanjivani Heritage,"Nirmali Gaon, Opposite City College, PO: C R Building",01-05-2019,30-04-2024,28,6,6000
20,Assam,Guwahati,2 Star,0,HOTEL NEZONE ( A UNIT OF NEZONE GLASS PVT. LTD),"N.H 37, GARCHUK, NEAR DY-365 NEWS CHANNEL. GUWAHATI- 781035",02-09-2019,01-09-2024,28,6,6000
21,Gujarat,Dwarka,2 Star,0,Cygnett Inn Dwarka (Unit of Om Enterprise),Near Sai Baba Mandir,19-02-2021,18-02-2026,48,6,6000
22,Gujarat,Gandhidham,2 Star,0,RAJVI HOTELS,"SURVEY NO.12940,NEAR RAJVI RESORT,GALPADAR,GANDHIDHAM,KUTCH-370210",16-09-2022,15-09-2027,40,6,6000
23,Gujarat,Gandhidham,2 Star,0,The Neemaya Hotel (A Unit of Hotel Natraj),"Plot No.50, Sector 9, Opp. S T Bus Stand Gandhidham",08-04-2021,07-04-2026,51,7,6000
24,Gujarat,Gandhinagar,2 Star,0,Hotel The Hillock (A unit of HOTEL HILLOCK PRIVATE LIMITED),"HOTEL HILLOCK, S P RING ROAD BETWEEN VAISJHNODEVI CIRCLE & ZUNDAL CIRCLE, ZUNDAL Gandhinagar",15-10-2022,14-10-2027,49,7,6000
25,Gujarat,Jamnagar,2 Star,0,"Raaj Svasti Inn, Unit of Raaj Enventure Private Limited","Plot No. 2 & 3, R.S.No.64-1, Near A J Engineering, Jamnagar - Khambhaliya Road, Village Sapar",25-01-2022,24-01-2027,48,7,6000
26,Gujarat,Kevadiya,2 Star,0,BRG BUDGET STAY( A unit of Anay Associates),"BRG BUDGET STAY,NR AAROGYA VAN,BHUMALIYA ROAD,KEVADIA COLONY,DIST:NARMADA,GUJARAT,INDIA",22-02-2022,21-02-2027,139,8,6000
27,Gujarat,Morabi,2 Star,0,"Club 36, Unit of Vrunda Entertainment LLP","Rajkot - Morbi Highway, Behind Jog Ashram, Lajai",06-05-2022,05-05-2027,10,8,6000
28,Gujarat,Morvi,2 Star,0,Shiv Hotel,"Opp. Shiv Petroleum, Morbi - Halvad Highway, Nichi Mandal",22-02-2022,21-02-2027,21,8,6000
29,Gujarat,Navsari,2 Star,0,HARE KRISHNA HOTEL,"Block no.568-2,Block no.-573,Village-Padgha,national highway no.-08,nr.Veshma Chokdi,Navsari-396445,Gujarat",01-11-2021,31-10-2026,15,8,6500
30,Gujarat,Porbandar,2 Star,0,HOTEL BALAJI PALACE,3 WADI POT MG ROAD KAMALA BAUG porbandar 360575,02-11-2020,01-11-2025,20,9,6500
31,Gujarat,Saurashtra,2 Star,0,Rann Riders,"Sh 18, Surendranagar, Dasada",22-02-2022,21-02-2027,29,9,6500
32,Gujarat,Vadodara,2 Star,0,EFFOTEL BY SAYAJI,"EFFOTEL BY SAYAJI, OPPOSITE RAJSHREE CENTER, NEAR KALAGHODA CIRCLE,SAYAJIGUNJ, VADODARA - 390 005",04-01-2023,03-01-2028,83,9,6500
33,Himachal Pradesh,Manali,2 Star,0,HOTEL VALLEY OF GODS,"VILLAGE & P.O VASHISHT. TEHSIL, MANALI DISTT. KULLU (H.P)",20-01-2021,19-01-2026,15,10,6500
34,Kerala,Thiruvananthapuram,2 Star,0,Hotel Marine Palace ,"Beach Road , Hawah Beach, Kovalam P O , Thiruvananthapuram Dist , Kerala , Pin 695527",09-09-2022,08-09-2027,20,10,6500
35,Kerala,Thiruvananthapuram,2 Star,0,JEEVAN AYURVEDIC BEACH RESORT,"LIGHT HOUSE BEACH, KOVALAM, VIZHINJAM.P.O",28-10-2019,27-10-2024,14,10,6500
36,Maharashtra,Kollhapur,2 Star,0,Hotel Vrishali Executive (A unit of Vrishali Hotels Pvt. Ltd.),"39-A-2, TARABAI PARK Kollhapur",19-02-2021,18-02-2026,84,10,6500
37,Maharashtra,SANTACURZ,2 Star,0,HOTEL AIRLINK,"75 OFF NEHRU ROAD,NEAR SANTACRUZ AIRPORT, VILE PARLE EAST , MUMBAI-400099.",21-11-2022,20-11-2027,39,10,6500
38,Odisha,Sambalpur,2 Star,0,Welcome Spa and Resort,"At-Po- Majhilali, PS- Sasan, Sambalpur",15-03-2022,14-03-2027,41,11,6500
39,Rajasthan,Alwar,2 Star,0,SPARROW INN (A Unit of Alwar Hospitality Pvt. Ltd.),"MANU MARG, ALWAR Alwar",20-08-2019,19-08-2024,19,11,6000
40,Andhra Pradesh,East Godavari,3 Star,0,HOTEL SHELTON RAJAMAHENDRI,"87-1-19B, AYYAPPA NAGAR, NEAR APSRTC COMPLEX ROAD, RAJAHMUNDRY ",06-07-2020,05-07-2025,97,11,7000
41,Andhra Pradesh,Kakinada,3 Star,1,Royal Park(Sri Adilakshmi Property Developers Pvt. Ltd.),"Royal Park,(Sri Adilakshmi Property Developers Pvt. Ltd.),D.No : 19-1-107, Kosurivari Street, Kakinada-533001 ,East Godavari, Andhra Pradesh.",02-08-2019,01-08-2024,84,12,7000
42,Andhra Pradesh,Kurnool,3 Star,1,Triguna Clarks Inn,"Adjacent to bus stand, Kallur Road",11-11-2019,10-11-2024,49,12,7000
43,Andhra Pradesh,Nellore,3 Star,1,MINERVA GRAND - NELLORE,"MINERVA GRAND ( A UNIT OF SECUNDERABAD HOTELS PVT LTD, 24-2-474-1, DARGAMITTA, G T ROAD, NELLORE, ANDHRA PRADESH - 524 003 Nellore",20-01-2021,19-01-2026,106,12,7000
44,Andhra Pradesh,Rajahmundry,3 Star,1,La Hospin Hotel Rajahmundry (A unit of La Hospin Hotels and Resorts Private Limited),"NEAR PUSHKARGHAT, RAJAHMUNDRY Rajahmundry Rajahmundry",11-10-2018,10-10-2023,69,12,7000
45,Andhra Pradesh,Rajam,3 Star,1,River Bay Resort,"D No 5-1-36, River Bay Road, Near ISKCON Temple, Gautama Ghat, Rajamahendravaram",08-08-2019,07-08-2024,68,12,7000
46,Andhra Pradesh,Tirupati,3 Star,1,BHIMAS RESIDENCY HOTEL (A UNIT OF BHIMAS RESIDENCY HOTELS PRIVATE LIMITED),"19-3-41, NEAR RAILWAY OVER BRIDGE, RENIGUNTA ROAD, TIRUPATI Tirupati Tirupati Tirupati",12-12-2019,11-12-2024,48,12,7000
47,Andhra Pradesh,Tirupati,3 Star,1,FORTUNE KENCES HOTEL,"OPP: APS RTC BUS TERMINAL, TIRUPATI",11-02-2021,10-02-2026,126,13,7000
48,Andhra Pradesh,Tirupati,3 Star,1,Hotel Bliss,"Door No.19-3-45, Ramanuja Circle Renigunta Road Tirupati Tirupati",19-02-2021,18-02-2026,92,13,7000
49,Andhra Pradesh,Tirupati,3 Star,1,Minerva Grand Tirupati,"19-3-39, Renigunta Road, Nr Rly Flyover Bridge, Tirupati",20-01-2020,19-01-2025,69,13,7000
